"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","age_cat"
238,"AT",0.3400408,"OQ","OQ","66",3,2,1,1,53,"OQ","OQ_OQ_M","41-65"
239,"AT",0.4533877,"OQ","OQ","66",3,2,2,1,48,"C","OQ_OQ_M","41-65"
240,"AT",0.26638618,"C","C","OQ",5,3,3,2,44,"C","C_OQ_F","41-65"
246,"AT",0.38379908,"PI","OQ","66",5,3,2,1,35,"PI","PI_OQ_M","26-40"
250,"AT",0.2834156,"OQ","OQ","ONQ",2,2,2,1,30,"OQ","OQ_OQ_M","26-40"
253,"AT",0.5771193,"PI","OQ","OQ",3,2,3,1,55,"PI","PI_OQ_M","41-65"
254,"AT",0.16262312,"OQ","66","PI",3,5,3,2,63,"OQ","OQ_PI_F","41-65"
257,"AT",0.32466796,"ONQ","PI","ONQ",2,2,2,1,57,"ONQ","ONQ_PI_M","41-65"
258,"AT",0.283529,"OQ","OQ","C",2,2,2,1,30,"OQ","OQ_OQ_M","26-40"
260,"AT",0.19120999,"OQ","PI","ONQ",2,2,2,2,54,"OQ","OQ_ONQ_F","41-65"
262,"AT",0.12708774,"OQ","OQ","66",2,2,2,1,43,"OQ","OQ_OQ_M","41-65"
273,"BE",0.81609595,"OQ","OQ","OQ",2,1,1,1,55,"OQ","OQ_OQ_M","41-65"
275,"AT",0.079158165,"OQ","ONQ","66",2,2,2,1,35,"A","OQ_ONQ_M","26-40"
280,"AT",0.26067704,"OQ","PI","ONQ",3,3,2,1,41,"OQ","OQ_PI_M","41-65"
283,"AT",0.12306744,"PI","C","C",5,5,5,1,75,"PI","PI_C_M",">65"
285,"AT",0.12306744,"PI","PI","66",5,3,2,1,87,"PI","PI_PI_M",">65"
288,"BE",0.39185643,"C","C","66",5,5,2,1,56,"C","C_C_M","41-65"
289,"BE",0.31884983,"OQ","OQ","OQ",5,1,2,2,49,"A","OQ_OQ_F","41-65"
293,"BE",0.70915115,"OQ","PI","C",2,3,2,1,22,"OQ","OQ_PI_M","14-25"
294,"AT",0.5356399,"PI","OQ","OQ",2,3,3,1,18,"PI","PI_OQ_M","14-25"
298,"AT",0.21806839,"PI","OQ","OQ",3,2,2,1,75,"PI","PI_OQ_M",">65"
302,"AT",0.22030084,"PI","PI","PI",3,3,3,2,56,"PI","PI_PI_F","41-65"
305,"BE",0.3647349,"PI","C","C",3,3,3,1,36,"PI","PI_C_M","26-40"
309,"AT",0.48860478,"OQ","OQ","66",3,3,2,1,60,"OQ","OQ_OQ_M","41-65"
312,"AT",0.26553923,"OQ","OQ","66",3,2,2,1,45,"OQ","OQ_OQ_M","41-65"
313,"CZ",1.1589419,"C","C","OQ",5,5,3,1,34,"C","C_C_M","26-40"
314,"AT",0.16713971,"OQ","OQ","66",2,2,2,1,74,"OQ","OQ_OQ_M",">65"
315,"BE",0.3788525,"OQ","OQ","OQ",3,3,3,1,30,"OQ","OQ_OQ_M","26-40"
317,"BE",0.39185643,"C","OQ","66",5,1,1,1,67,"C","C_OQ_M",">65"
325,"AT",0.21186343,"PI","OQ","66",3,2,2,1,72,"PI","PI_OQ_M",">65"
330,"BE",0.3647349,"OQ","OQ","66",3,2,1,1,45,"OQ","OQ_OQ_M","41-65"
333,"AT",0.09596324,"PI","OQ","66",3,2,2,1,43,"PI","PI_OQ_M","41-65"
335,"AT",0.15891369,"C","OQ","66",2,4,2,1,60,"C","C_OQ_M","41-65"
336,"BE",0.33119136,"PI","OQ","OQ",5,1,5,2,25,"PI","PI_OQ_F","14-25"
339,"AT",0.4228124,"OQ","OQ","ONQ",2,3,2,1,28,"OQ","OQ_OQ_M","26-40"
341,"AT",0.21385151,"ONQ","OQ","OQ",2,2,1,2,44,"ONQ","ONQ_OQ_F","41-65"
342,"AT",0.29233366,"OQ","ONQ","OQ",3,2,2,1,40,"OQ","OQ_ONQ_M","26-40"
346,"AT",0.43252158,"OQ","PI","OQ",2,1,3,2,56,"OQ","OQ_OQ_F","41-65"
348,"AT",0.29233366,"OQ","OQ","66",3,3,2,1,40,"OQ","OQ_OQ_M","26-40"
349,"BE",0.66404945,"ONQ","ONQ","ONQ",1,1,1,2,46,"ONQ","ONQ_ONQ_F","41-65"
350,"AT",0.36336726,"OQ","PI","C",3,4,4,1,19,"OQ","OQ_PI_M","14-25"
354,"AT",0.44894183,"PI","OQ","ONQ",3,2,2,2,23,"PI","PI_ONQ_F","14-25"
365,"BE",0.34050584,"PI","PI","C",5,5,5,1,26,"PI","PI_PI_M","26-40"
366,"AT",0.2526884,"OQ","ONQ","66",2,1,1,1,40,"OQ","OQ_ONQ_M","26-40"
368,"AT",0.20215327,"OQ","OQ","ONQ",2,2,3,1,47,"OQ","OQ_OQ_M","41-65"
375,"AT",0.38224262,"OQ","OQ","C",3,2,2,2,47,"C","OQ_C_F","41-65"
376,"AT",0.18665682,"OQ","OQ","ONQ",3,3,2,2,27,"OQ","OQ_ONQ_F","26-40"
378,"AT",0.30579412,"ONQ","OQ","PI",3,2,3,2,44,"ONQ","ONQ_PI_F","41-65"
384,"AT",0.14640501,"OQ","ONQ","ONQ",2,2,1,2,45,"OQ","OQ_ONQ_F","41-65"
386,"AT",0.58781356,"C","OQ","OQ",5,2,1,1,44,"C","C_OQ_M","41-65"
387,"BE",0.3647349,"OQ","OQ","66",3,2,2,1,43,"OQ","OQ_OQ_M","41-65"
388,"AT",0.40016484,"OQ","ONQ","ONQ",3,2,2,1,42,"OQ","OQ_ONQ_M","41-65"
392,"AT",0.30012363,"OQ","OQ","66",3,2,2,1,41,"OQ","OQ_OQ_M","41-65"
393,"BE",0.70915115,"ONQ","C","66",1,1,1,1,26,"ONQ","ONQ_C_M","26-40"
394,"AT",0.14592402,"OQ","OQ","88",2,2,2,1,53,"OQ","OQ_OQ_M","41-65"
397,"AT",0.4721242,"OQ","PI","PI",3,4,3,1,15,"C","OQ_PI_M","14-25"
399,"AT",0.11803105,"OQ","C","C",3,3,5,1,25,"C","OQ_C_M","14-25"
400,"AT",0.1521467,"OQ","OQ","PI",5,3,3,1,26,"C","OQ_OQ_M","26-40"
402,"AT",0.50881535,"OQ","C","OQ",2,3,3,1,21,"OQ","OQ_C_M","14-25"
403,"AT",0.27562878,"C","PI","66",5,2,2,1,45,"C","C_PI_M","41-65"
405,"AT",0.46907225,"OQ","C","66",3,2,2,1,46,"C","OQ_C_M","41-65"
406,"AT",0.2745285,"ONQ","OQ","OQ",2,4,3,2,53,"ONQ","ONQ_OQ_F","41-65"
407,"AT",0.5901224,"OQ","PI","66",3,3,2,1,22,"C","OQ_PI_M","14-25"
410,"AT",0.29333773,"PI","OQ","PI",5,2,2,2,30,"PI","PI_PI_F","26-40"
411,"AT",0.3503812,"PI","C","C",3,3,4,1,23,"PI","PI_C_M","14-25"
413,"AT",0.2060333,"OQ","OQ","PI",2,3,3,2,76,"OQ","OQ_PI_F",">65"
414,"BE",0.34050584,"C","OQ","66",5,3,1,1,28,"C","C_OQ_M","26-40"
417,"AT",0.3021057,"OQ","C","C",2,3,5,1,17,"C","OQ_C_M","14-25"
419,"AT",0.2060333,"OQ","OQ","C",2,2,2,2,71,"OQ","OQ_C_F",">65"
