"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","mobilite_educ","age_cat"
108811,"GB",3.3071535,"1","1","1",1,1,1,2,77,"OQ","OQ_ONQ_M","1_1_M",">65"
108818,"GB",1.3319856,"5","1","1",5,1,1,1,77,"C","C_C_F","5_1_F",">65"
108820,"GB",6.157736,"2","2","1",2,2,1,2,19,"OQ","OQ_OQ_M","2_2_M","14-25"
108821,"GB",6.614307,"1","1","1",1,1,1,2,55,"OQ","OQ_ONQ_M","1_1_M","41-65"
108901,"GB",8.607757,"1","1","1",1,1,1,2,45,"OQ","OQ_C_M","1_1_M","41-65"
108902,"GB",2.869252,"5","1","1",5,1,1,2,53,"PI","PI_ONQ_M","5_1_M","41-65"
108907,"GB",2.6639712,"1","1","1",1,1,1,1,57,"OQ","OQ_ONQ_F","1_1_F","41-65"
108912,"GB",3.3071535,"1","1","1",1,1,1,2,77,"OQ","OQ_OQ_M","1_1_M",">65"
108919,"GB",3.3071535,"5","2","1",5,2,1,2,56,"C","C_OQ_M","5_2_M","41-65"
108920,"GB",3.6176982,"5","1","1",5,1,1,1,33,"C","C_OQ_F","5_1_F","26-40"
109003,"GB",3.8527856,"5","5","5",5,5,5,2,31,"C","C_C_M","5_5_M","26-40"
109009,"GB",1.8990184,"5","5","5",5,5,5,1,38,"C","C_C_F","5_5_F","26-40"
109020,"GB",1.9263928,"5","5","5",5,5,5,2,33,"C","C_OQ_M","5_5_M","26-40"
109021,"GB",3.3335989,"5","1","3",5,1,3,1,55,"C","C_C_F","5_3_F","41-65"
109107,"GB",1.7952399,"2","2","2",2,2,2,2,47,"PI","PI_C_M","2_2_M","41-65"
109109,"GB",3.5904799,"3","1","1",3,1,1,2,35,"C","C_ONQ_M","3_1_M","26-40"
109111,"GB",4.138454,"1","1","1",1,1,1,2,72,"OQ","OQ_ONQ_M","1_1_M",">65"
109112,"DE",2.040583,"3","3","2",3,3,2,2,48,"C","C_OQ_M","3_3_M","41-65"
109136,"DE",1.6337285,"5","3","3",5,3,3,2,45,"PI","PI_C_M","5_3_M","41-65"
109201,"DE",2.2119153,"3","2","2",3,2,2,2,66,"OQ","OQ_OQ_M","3_2_M",">65"
109202,"GB",7.705571,"1","1","3",1,1,3,2,16,"ONQ","ONQ_OQ_M","1_1_M","14-25"
109211,"GB",3.7980368,"5","5","5",5,5,5,1,40,"PI","PI_C_F","5_5_F","26-40"
